序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
479,imported,BAND_TRICEP_PRESSDOWN,弹力带-三头压拉,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
480,imported,BAND_STANDING_TRICEP_EXT,弹力带站姿臂屈伸,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
481,imported,CABLE_LOW_OVERHEAD_TRICEP_EXT,绳索低位过头臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
482,imported,LYING_DB_ALTERNATING_TRICEP_EXT,仰卧哑铃交替臂屈伸,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
483,imported,CABLE_HIGH_OVERHEAD_TRICEP_EXT,绳索高位过顶肱三头肌屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
484,imported,BB_TRICEP_PUSHDOWN_SZ_BAR,绳索三头下压_SZ杆,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
485,imported,BAND_TRICEP_PUSHDOWN,弹力带三头下压,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
486,imported,SEATED_BB_TRICEP_EXT,坐姿杠杆臂屈伸,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
487,imported,ASSISTED_PUSHDOWN,辅助器下压,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
488,imported,LYING_EZ_BAR_TRICEP_EXT,仰卧EZ杆臂屈伸,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
489,imported,SEATED_DB_TRICEP_EXT,哑铃坐姿臂屈伸,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
